alder	menn	kvinner
0	2.24	1.84
1	0.19	0.1
2	0.14	0.06
3	0.08	0.05
4	0.08	0.07
5	0.06	0.06
6	0.07	0.05
7	0.06	0.05
8	0.04	0.06
9	0.07	0.03
10	0.04	0.07
11	0.04	0.08
12	0.12	0.11
13	0.09	0.13
14	0.1	0.16
15	0.23	0.12
16	0.25	0.16
17	0.3	0.19
18	0.42	0.2
19	0.49	0.14
20	0.58	0.2
21	0.48	0.17
22	0.59	0.24
23	0.53	0.18
24	0.59	0.2
25	0.52	0.27
26	0.69	0.17
27	0.64	0.24
28	0.62	0.21
29	0.53	0.3
30	0.54	0.3
31	0.61	0.26
32	0.63	0.29
33	0.61	0.35
34	0.73	0.33
35	0.61	0.37
36	0.74	0.34
37	0.84	0.4
38	1	0.54
39	0.94	0.47
40	0.93	0.47
41	0.98	0.68
42	0.96	0.81
43	1.18	0.72
44	1.22	0.64
45	1.18	0.91
46	1.51	0.93
47	1.67	1.08
48	1.56	1.19
49	1.93	1.39
50	2.13	1.41
51	2.24	1.66
52	2.68	1.62
53	2.62	1.93
54	2.89	2.28
55	3.45	2.49
56	3.78	2.63
57	4.51	2.96
58	4.73	2.98
59	5.55	3.28
60	5.79	3.54
61	6.17	4.18
62	6.88	4.84
63	8.4	5.31
64	8.71	5.65
65	9.55	6.52
66	10.72	7.28
67	12.17	7.51
68	12.67	8.17
69	14.33	9.94
70	15.59	10.68
71	17.68	12.37
72	19.59	14.16
73	21.72	15.39
74	23.52	16.87
75	28.23	18.87
76	28.85	20.2
77	33.52	24.12
78	38.75	26.44
79	43.56	30.13
80	47.38	33.88
81	55.62	38.77
82	62.25	43.74
83	70.91	51.58
84	81.37	59.64
85	90.28	64.57
86	104.94	73.94
87	118.11	86.82
88	131.73	100.7
89	151.69	114.99
90	167.83	129.99
91	179.6	146.53
92	209.82	167.76
93	220.74	182.5
94	239.63	211.51
95	266.17	236.51
96	290.24	255.17
97	327.45	282.06
98	339.45	299.31
99	377.99	324.63
100	399.44	367.45
101	434.92	352.88
102	334.82	380.85
103	362.41	375.45
104	342.64	417.09
105	197.68	420.83
106	1000	1000
